"","game_id","season","week","team","opponent","touchdowns","point_diff2","winner"
"1650","2016_03_WAS_NYG",2016,3,"NYG","WAS",3,-2,"WAS"
"1651","2016_04_BUF_NE",2016,4,"NE","BUF",0,-16,"BUF"
"1652","2016_04_CAR_ATL",2016,4,"ATL","CAR",6,15,"ATL"
"1653","2016_04_CLE_WAS",2016,4,"WAS","CLE",4,11,"WAS"
"1654","2016_04_DAL_SF",2016,4,"SF","DAL",2,-7,"DAL"
"1655","2016_04_DEN_TB",2016,4,"TB","DEN",1,-20,"DEN"
"1656","2016_04_DET_CHI",2016,4,"CHI","DET",2,3,"CHI"
"1657","2016_04_IND_JAX",2016,4,"JAX","IND",3,3,"JAX"
"1658","2016_04_KC_PIT",2016,4,"PIT","KC",6,29,"PIT"
"1659","2016_04_LA_ARI",2016,4,"ARI","LA",1,-4,"LA"
"1660","2016_04_MIA_CIN",2016,4,"CIN","MIA",1,15,"CIN"
"1661","2016_04_NO_SD",2016,4,"LAC","NO",4,-1,"NO"
"1662","2016_04_NYG_MIN",2016,4,"MIN","NYG",3,14,"MIN"
"1663","2016_04_OAK_BAL",2016,4,"BAL","LV",3,-1,"LV"
"1664","2016_04_SEA_NYJ",2016,4,"NYJ","SEA",2,-10,"SEA"
"1665","2016_04_TEN_HOU",2016,4,"HOU","TEN",3,7,"HOU"
"1666","2016_05_ARI_SF",2016,5,"SF","ARI",3,-12,"ARI"
"1667","2016_05_ATL_DEN",2016,5,"DEN","ATL",1,-7,"ATL"
"1668","2016_05_BUF_LA",2016,5,"LA","BUF",1,-11,"BUF"
"1669","2016_05_CHI_IND",2016,5,"IND","CHI",2,6,"IND"
"1670","2016_05_CIN_DAL",2016,5,"DAL","CIN",4,14,"DAL"
"1671","2016_05_HOU_MIN",2016,5,"MIN","HOU",4,18,"MIN"
"1672","2016_05_NE_CLE",2016,5,"CLE","NE",2,-20,"NE"
"1673","2016_05_NYG_GB",2016,5,"GB","NYG",2,7,"GB"
"1674","2016_05_NYJ_PIT",2016,5,"PIT","NYJ",4,18,"PIT"
"1675","2016_05_PHI_DET",2016,5,"DET","PHI",3,1,"DET"
"1676","2016_05_SD_OAK",2016,5,"LV","LAC",3,3,"LV"
"1677","2016_05_TB_CAR",2016,5,"CAR","TB",2,-3,"TB"
"1678","2016_05_TEN_MIA",2016,5,"MIA","TEN",2,-13,"TEN"
"1679","2016_05_WAS_BAL",2016,5,"BAL","WAS",1,-6,"WAS"
"1680","2016_06_ATL_SEA",2016,6,"SEA","ATL",3,2,"SEA"
"1681","2016_06_BAL_NYG",2016,6,"NYG","BAL",3,4,"NYG"
"1682","2016_06_CAR_NO",2016,6,"NO","CAR",5,3,"NO"
"1683","2016_06_CIN_NE",2016,6,"NE","CIN",4,18,"NE"
"1684","2016_06_CLE_TEN",2016,6,"TEN","CLE",4,2,"TEN"
"1685","2016_06_DAL_GB",2016,6,"GB","DAL",1,-14,"DAL"
"1686","2016_06_DEN_SD",2016,6,"LAC","DEN",1,8,"LAC"
"1687","2016_06_IND_HOU",2016,6,"HOU","IND",3,3,"HOU"
"1688","2016_06_JAX_CHI",2016,6,"CHI","JAX",1,-1,"JAX"
"1689","2016_06_KC_OAK",2016,6,"LV","KC",1,-16,"KC"
"1690","2016_06_LA_DET",2016,6,"DET","LA",4,3,"DET"
"1691","2016_06_NYJ_ARI",2016,6,"ARI","NYJ",4,25,"ARI"
"1692","2016_06_PHI_WAS",2016,6,"WAS","PHI",3,7,"WAS"
"1693","2016_06_PIT_MIA",2016,6,"MIA","PIT",3,15,"MIA"
"1694","2016_06_SF_BUF",2016,6,"BUF","SF",6,29,"BUF"
"1695","2016_07_BAL_NYJ",2016,7,"NYJ","BAL",3,8,"NYJ"
"1696","2016_07_BUF_MIA",2016,7,"MIA","BUF",3,3,"MIA"
"1697","2016_07_CHI_GB",2016,7,"GB","CHI",3,16,"GB"
"1698","2016_07_CLE_CIN",2016,7,"CIN","CLE",4,14,"CIN"
"1699","2016_07_HOU_DEN",2016,7,"DEN","HOU",3,18,"DEN"
"1700","2016_07_IND_TEN",2016,7,"TEN","IND",3,-8,"IND"
"1701","2016_07_MIN_PHI",2016,7,"PHI","MIN",2,11,"PHI"
"1702","2016_07_NE_PIT",2016,7,"PIT","NE",1,-11,"NE"
"1703","2016_07_NO_KC",2016,7,"KC","NO",3,6,"KC"
"1704","2016_07_NYG_LA",2016,7,"LA","NYG",1,-7,"NYG"
"1705","2016_07_OAK_JAX",2016,7,"JAX","LV",1,-17,"LV"
"1706","2016_07_SD_ATL",2016,7,"ATL","LAC",3,-3,"LAC"
"1707","2016_07_SEA_ARI",2016,7,"ARI","SEA",0,0,"SEA"
"1708","2016_07_TB_SF",2016,7,"SF","TB",2,-17,"TB"
"1709","2016_07_WAS_DET",2016,7,"DET","WAS",2,3,"DET"
"1710","2016_08_ARI_CAR",2016,8,"CAR","ARI",3,10,"CAR"
"1711","2016_08_DET_HOU",2016,8,"HOU","DET",2,7,"HOU"
"1712","2016_08_GB_ATL",2016,8,"ATL","GB",4,1,"ATL"
"1713","2016_08_JAX_TEN",2016,8,"TEN","JAX",4,14,"TEN"
"1714","2016_08_KC_IND",2016,8,"IND","KC",2,-16,"KC"
"1715","2016_08_MIN_CHI",2016,8,"CHI","MIN",2,10,"CHI"
"1716","2016_08_NE_BUF",2016,8,"BUF","NE",3,-16,"NE"
"1717","2016_08_NYJ_CLE",2016,8,"CLE","NYJ",3,-3,"NYJ"
"1718","2016_08_OAK_TB",2016,8,"TB","LV",3,-6,"LV"
"1719","2016_08_PHI_DAL",2016,8,"DAL","PHI",3,6,"DAL"
"1720","2016_08_SD_DEN",2016,8,"DEN","LAC",3,8,"DEN"
"1721","2016_08_SEA_NO",2016,8,"NO","SEA",2,5,"NO"
"1722","2016_08_WAS_CIN",2016,8,"CIN","WAS",4,0,"WAS"
"1723","2016_09_ATL_TB",2016,9,"TB","ATL",4,-15,"ATL"
"1724","2016_09_BUF_SEA",2016,9,"SEA","BUF",4,6,"SEA"
"1725","2016_09_CAR_LA",2016,9,"LA","CAR",1,-3,"CAR"
"1726","2016_09_DAL_CLE",2016,9,"CLE","DAL",1,-25,"DAL"
"1727","2016_09_DEN_OAK",2016,9,"LV","DEN",3,10,"LV"
"1728","2016_09_DET_MIN",2016,9,"MIN","DET",2,-6,"DET"
"1729","2016_09_IND_GB",2016,9,"GB","IND",3,-5,"IND"
"1730","2016_09_JAX_KC",2016,9,"KC","JAX",1,5,"KC"
"1731","2016_09_NO_SF",2016,9,"SF","NO",2,-18,"NO"
"1732","2016_09_NYJ_MIA",2016,9,"MIA","NYJ",3,4,"MIA"
"1733","2016_09_PHI_NYG",2016,9,"NYG","PHI",4,5,"NYG"
"1734","2016_09_PIT_BAL",2016,9,"BAL","PIT",2,7,"BAL"
"1735","2016_09_TEN_SD",2016,9,"LAC","TEN",5,8,"LAC"
"1736","2016_10_ATL_PHI",2016,10,"PHI","ATL",2,9,"PHI"
"1737","2016_10_CHI_TB",2016,10,"TB","CHI",4,26,"TB"
"1738","2016_10_CIN_NYG",2016,10,"NYG","CIN",3,1,"NYG"
"1739","2016_10_CLE_BAL",2016,10,"BAL","CLE",3,21,"BAL"
"1740","2016_10_DAL_PIT",2016,10,"PIT","DAL",4,-5,"DAL"
"1741","2016_10_DEN_NO",2016,10,"NO","DEN",3,-2,"DEN"
"1742","2016_10_GB_TEN",2016,10,"TEN","GB",6,22,"TEN"
"1743","2016_10_HOU_JAX",2016,10,"JAX","HOU",2,-3,"HOU"
"1744","2016_10_KC_CAR",2016,10,"CAR","KC",2,-3,"KC"
"1745","2016_10_LA_NYJ",2016,10,"NYJ","LA",1,-3,"LA"
"1746","2016_10_MIA_SD",2016,10,"LAC","MIA",3,-7,"MIA"
"1747","2016_10_MIN_WAS",2016,10,"WAS","MIN",2,6,"WAS"
"1748","2016_10_SEA_NE",2016,10,"NE","SEA",3,-7,"SEA"
"1749","2016_10_SF_ARI",2016,10,"ARI","SF",2,3,"ARI"
"1750","2016_11_ARI_MIN",2016,11,"MIN","ARI",4,6,"MIN"
"1751","2016_11_BAL_DAL",2016,11,"DAL","BAL",3,10,"DAL"
"1752","2016_11_BUF_CIN",2016,11,"CIN","BUF",2,-4,"BUF"
"1753","2016_11_CHI_NYG",2016,11,"NYG","CHI",3,6,"NYG"
"1754","2016_11_GB_WAS",2016,11,"WAS","GB",6,18,"WAS"
"1755","2016_11_HOU_OAK",2016,11,"LV","HOU",3,7,"LV"
"1756","2016_11_JAX_DET",2016,11,"DET","JAX",3,7,"DET"
"1757","2016_11_MIA_LA",2016,11,"LA","MIA",1,-4,"MIA"
"1758","2016_11_NE_SF",2016,11,"SF","NE",2,-13,"NE"
"1759","2016_11_NO_CAR",2016,11,"CAR","NO",2,3,"CAR"
"1760","2016_11_PHI_SEA",2016,11,"SEA","PHI",3,11,"SEA"
"1761","2016_11_PIT_CLE",2016,11,"CLE","PIT",1,-15,"PIT"
"1762","2016_11_TB_KC",2016,11,"KC","TB",2,-2,"TB"
"1763","2016_11_TEN_IND",2016,11,"IND","TEN",3,7,"IND"
"1764","2016_12_ARI_ATL",2016,12,"ATL","ARI",5,19,"ATL"
"1765","2016_12_CAR_OAK",2016,12,"LV","CAR",4,3,"LV"
"1766","2016_12_CIN_BAL",2016,12,"BAL","CIN",1,5,"BAL"
"1767","2016_12_GB_PHI",2016,12,"PHI","GB",1,-14,"GB"
"1768","2016_12_JAX_BUF",2016,12,"BUF","JAX",4,7,"BUF"
"1769","2016_12_KC_DEN",2016,12,"DEN","KC",3,-3,"KC"
"1770","2016_12_LA_NO",2016,12,"NO","LA",7,28,"NO"
"1771","2016_12_MIN_DET",2016,12,"DET","MIN",1,3,"DET"
"1772","2016_12_NE_NYJ",2016,12,"NYJ","NE",2,-5,"NE"
"1773","2016_12_NYG_CLE",2016,12,"CLE","NYG",1,-14,"NYG"
"1774","2016_12_PIT_IND",2016,12,"IND","PIT",1,-21,"PIT"
"1775","2016_12_SD_HOU",2016,12,"HOU","LAC",1,-8,"LAC"
"1776","2016_12_SEA_TB",2016,12,"TB","SEA",2,9,"TB"
"1777","2016_12_SF_MIA",2016,12,"MIA","SF",4,7,"MIA"
"1778","2016_12_TEN_CHI",2016,12,"CHI","TEN",3,-6,"TEN"
"1779","2016_12_WAS_DAL",2016,12,"DAL","WAS",4,5,"DAL"
"1780","2016_13_BUF_OAK",2016,13,"LV","BUF",4,14,"LV"
"1781","2016_13_CAR_SEA",2016,13,"SEA","CAR",4,33,"SEA"
