"","game_id","team","point_diff","week","season"
"341","2011_05_SD_DEN","DEN",-5,5,2011
"342","2011_05_SEA_NYG","NYG",-11,5,2011
"343","2011_05_TB_SF","SF",45,5,2011
"344","2011_05_TEN_PIT","PIT",21,5,2011
"345","2011_06_BUF_NYG","NYG",3,6,2011
"346","2011_06_CAR_ATL","ATL",14,6,2011
"347","2011_06_CLE_OAK","LV",7,6,2011
"348","2011_06_DAL_NE","NE",4,6,2011
"349","2011_06_HOU_BAL","BAL",15,6,2011
"350","2011_06_IND_CIN","CIN",10,6,2011
"351","2011_06_JAX_PIT","PIT",4,6,2011
"352","2011_06_MIA_NYJ","NYJ",18,6,2011
"353","2011_06_MIN_CHI","CHI",29,6,2011
"354","2011_06_NO_TB","TB",6,6,2011
"355","2011_06_PHI_WAS","WAS",-7,6,2011
"356","2011_06_SF_DET","DET",-6,6,2011
"357","2011_06_STL_GB","GB",21,6,2011
"358","2011_07_ATL_DET","DET",-7,7,2011
"359","2011_07_BAL_JAX","JAX",5,7,2011
"360","2011_07_CHI_TB","TB",-6,7,2011
"361","2011_07_DEN_MIA","MIA",-3,7,2011
"362","2011_07_GB_MIN","MIN",-6,7,2011
"363","2011_07_HOU_TEN","TEN",-34,7,2011
"364","2011_07_IND_NO","NO",55,7,2011
"365","2011_07_KC_OAK","LV",-28,7,2011
"366","2011_07_PIT_ARI","ARI",-12,7,2011
"367","2011_07_SD_NYJ","NYJ",6,7,2011
"368","2011_07_SEA_CLE","CLE",3,7,2011
"369","2011_07_STL_DAL","DAL",27,7,2011
"370","2011_07_WAS_CAR","CAR",13,7,2011
"371","2011_08_ARI_BAL","BAL",3,8,2011
"372","2011_08_CIN_SEA","SEA",-22,8,2011
"373","2011_08_CLE_SF","SF",10,8,2011
"374","2011_08_DAL_PHI","PHI",27,8,2011
"375","2011_08_DET_DEN","DEN",-35,8,2011
"376","2011_08_IND_TEN","TEN",17,8,2011
"377","2011_08_JAX_HOU","HOU",10,8,2011
"378","2011_08_MIA_NYG","NYG",3,8,2011
"379","2011_08_MIN_CAR","CAR",-3,8,2011
"380","2011_08_NE_PIT","PIT",8,8,2011
"381","2011_08_NO_STL","LA",10,8,2011
"382","2011_08_SD_KC","KC",3,8,2011
"383","2011_08_WAS_BUF","BUF",23,8,2011
"384","2011_09_ATL_IND","IND",-24,9,2011
"385","2011_09_BAL_PIT","PIT",-3,9,2011
"386","2011_09_CHI_PHI","PHI",-6,9,2011
"387","2011_09_CIN_TEN","TEN",-7,9,2011
"388","2011_09_CLE_HOU","HOU",18,9,2011
"389","2011_09_DEN_OAK","LV",-14,9,2011
"390","2011_09_GB_SD","LAC",-7,9,2011
"391","2011_09_MIA_KC","KC",-28,9,2011
"392","2011_09_NYG_NE","NE",-4,9,2011
"393","2011_09_NYJ_BUF","BUF",-16,9,2011
"394","2011_09_SEA_DAL","DAL",10,9,2011
"395","2011_09_SF_WAS","WAS",-8,9,2011
"396","2011_09_STL_ARI","ARI",6,9,2011
"397","2011_09_TB_NO","NO",11,9,2011
"398","2011_10_ARI_PHI","PHI",-4,10,2011
"399","2011_10_BAL_SEA","SEA",5,10,2011
