"","game_id","week","season","team","opponent","fg_pct","winner","point_diff_real"
"4620","2012_01_MIA_HOU",1,2012,"MIA","HOU",1,"HOU",-20
"4621","2012_01_NE_TEN",1,2012,"NE","TEN",1,"NE",21
"4622","2012_01_PHI_CLE",1,2012,"PHI","CLE",0.5,"PHI",1
"4623","2012_01_PIT_DEN",1,2012,"PIT","DEN",1,"DEN",-12
"4624","2012_01_SD_OAK",1,2012,"LAC","LV",1,"LAC",8
"4625","2012_01_SEA_ARI",1,2012,"SEA","ARI",0.75,"ARI",-4
"4626","2012_01_SF_GB",1,2012,"SF","GB",1,"SF",8
"4627","2012_01_STL_DET",1,2012,"LA","DET",1,"DET",-4
"4628","2012_01_WAS_NO",1,2012,"WAS","NO",1,"WAS",8
"4629","2012_02_ARI_NE",2,2012,"ARI","NE",1,"ARI",2
"4630","2012_02_BAL_PHI",2,2012,"BAL","PHI",1,"PHI",-1
"4631","2012_02_CHI_GB",2,2012,"CHI","GB",1,"GB",-13
"4632","2012_02_CLE_CIN",2,2012,"CLE","CIN",1,"CIN",-7
"4633","2012_02_DAL_SEA",2,2012,"DAL","SEA",0,"SEA",-20
"4634","2012_02_DEN_ATL",2,2012,"DEN","ATL",0,"ATL",-6
"4635","2012_02_DET_SF",2,2012,"DET","SF",0.8,"SF",-8
"4636","2012_02_HOU_JAX",2,2012,"HOU","JAX",1,"HOU",20
"4637","2012_02_KC_BUF",2,2012,"KC","BUF",1,"BUF",-18
"4638","2012_02_MIN_IND",2,2012,"MIN","IND",1,"IND",-3
"4639","2012_02_NO_CAR",2,2012,"NO","CAR",1,"CAR",-8
"4640","2012_02_NYJ_PIT",2,2012,"NYJ","PIT",1,"PIT",-17
"4641","2012_02_OAK_MIA",2,2012,"LV","MIA",1,"MIA",-22
"4642","2012_02_TB_NYG",2,2012,"TB","NYG",1,"NYG",-7
"4643","2012_02_TEN_SD",2,2012,"TEN","LAC",1,"LAC",-28
"4644","2012_02_WAS_STL",2,2012,"WAS","LA",0,"LA",-3
"4645","2012_03_ATL_SD",3,2012,"ATL","LAC",0,"ATL",24
"4646","2012_03_BUF_CLE",3,2012,"BUF","CLE",1,"BUF",10
"4647","2012_03_CIN_WAS",3,2012,"CIN","WAS",1,"CIN",7
"4648","2012_03_DET_TEN",3,2012,"DET","TEN",1,"TEN",-3
"4649","2012_03_GB_SEA",3,2012,"GB","SEA",1,"SEA",-2
"4650","2012_03_HOU_DEN",3,2012,"HOU","DEN",1,"HOU",6
"4651","2012_03_JAX_IND",3,2012,"JAX","IND",1,"JAX",5
"4652","2012_03_KC_NO",3,2012,"KC","NO",1,"KC",3
"4653","2012_03_NE_BAL",3,2012,"NE","BAL",1,"BAL",-1
"4654","2012_03_NYG_CAR",3,2012,"NYG","CAR",1,"NYG",29
"4655","2012_03_NYJ_MIA",3,2012,"NYJ","MIA",1,"NYJ",3
"4656","2012_03_PHI_ARI",3,2012,"PHI","ARI",1,"ARI",-21
"4657","2012_03_PIT_OAK",3,2012,"PIT","LV",1,"LV",-3
"4658","2012_03_SF_MIN",3,2012,"SF","MIN",0.666666666666667,"MIN",-11
"4659","2012_03_STL_CHI",3,2012,"LA","CHI",1,"CHI",-17
"4660","2012_03_TB_DAL",3,2012,"TB","DAL",1,"DAL",-6
"4661","2012_04_CAR_ATL",4,2012,"CAR","ATL",0,"ATL",-2
"4662","2012_04_CHI_DAL",4,2012,"CHI","DAL",1,"CHI",16
"4663","2012_04_CIN_JAX",4,2012,"CIN","JAX",1,"CIN",17
"4664","2012_04_CLE_BAL",4,2012,"CLE","BAL",1,"BAL",-7
"4665","2012_04_MIA_ARI",4,2012,"MIA","ARI",0.666666666666667,"ARI",-3
"4666","2012_04_MIN_DET",4,2012,"MIN","DET",0.666666666666667,"MIN",7
"4667","2012_04_NE_BUF",4,2012,"NE","BUF",0.333333333333333,"NE",24
"4668","2012_04_NO_GB",4,2012,"NO","GB",0.666666666666667,"GB",-1
"4669","2012_04_NYG_PHI",4,2012,"NYG","PHI",0.5,"PHI",-2
"4670","2012_04_OAK_DEN",4,2012,"LV","DEN",1,"DEN",-31
"4671","2012_04_SD_KC",4,2012,"LAC","KC",1,"LAC",17
"4672","2012_04_SEA_STL",4,2012,"SEA","LA",1,"LA",-6
"4673","2012_04_SF_NYJ",4,2012,"SF","NYJ",0.5,"SF",34
"4674","2012_04_TEN_HOU",4,2012,"TEN","HOU",0,"HOU",-24
"4675","2012_04_WAS_TB",4,2012,"WAS","TB",0.25,"WAS",2
"4676","2012_05_ARI_STL",5,2012,"ARI","LA",0.5,"LA",-14
"4677","2012_05_ATL_WAS",5,2012,"ATL","WAS",1,"ATL",7
"4678","2012_05_BAL_KC",5,2012,"BAL","KC",1,"BAL",3
"4679","2012_05_BUF_SF",5,2012,"BUF","SF",1,"SF",-42
"4680","2012_05_CHI_JAX",5,2012,"CHI","JAX",1,"CHI",38
"4681","2012_05_CLE_NYG",5,2012,"CLE","NYG",1,"NYG",-14
"4682","2012_05_DEN_NE",5,2012,"DEN","NE",0,"NE",-10
"4683","2012_05_GB_IND",5,2012,"GB","IND",0,"IND",-3
"4684","2012_05_HOU_NYJ",5,2012,"HOU","NYJ",1,"HOU",6
"4685","2012_05_MIA_CIN",5,2012,"MIA","CIN",0.5,"MIA",4
"4686","2012_05_PHI_PIT",5,2012,"PHI","PIT",0,"PIT",-2
"4687","2012_05_SD_NO",5,2012,"LAC","NO",0.5,"NO",-7
"4688","2012_05_SEA_CAR",5,2012,"SEA","CAR",1,"SEA",4
"4689","2012_05_TEN_MIN",5,2012,"TEN","MIN",0,"MIN",-23
"4690","2012_06_BUF_ARI",6,2012,"BUF","ARI",1,"BUF",3
"4691","2012_06_CIN_CLE",6,2012,"CIN","CLE",1,"CLE",-10
"4692","2012_06_DAL_BAL",6,2012,"DAL","BAL",0.75,"BAL",-2
"4693","2012_06_DEN_SD",6,2012,"DEN","LAC",0,"DEN",11
"4694","2012_06_DET_PHI",6,2012,"DET","PHI",1,"DET",3
"4695","2012_06_GB_HOU",6,2012,"GB","HOU",0,"GB",18
"4696","2012_06_IND_NYJ",6,2012,"IND","NYJ",1,"NYJ",-26
"4697","2012_06_KC_TB",6,2012,"KC","TB",1,"TB",-28
"4698","2012_06_MIN_WAS",6,2012,"MIN","WAS",1,"WAS",-12
"4699","2012_06_NE_SEA",6,2012,"NE","SEA",1,"SEA",-1
"4700","2012_06_NYG_SF",6,2012,"NYG","SF",0.8,"NYG",23
"4701","2012_06_OAK_ATL",6,2012,"LV","ATL",1,"ATL",-3
"4702","2012_06_PIT_TEN",6,2012,"PIT","TEN",0.75,"TEN",-3
"4703","2012_06_STL_MIA",6,2012,"LA","MIA",0.4,"MIA",-3
"4704","2012_07_ARI_MIN",7,2012,"ARI","MIN",0,"MIN",-7
"4705","2012_07_BAL_HOU",7,2012,"BAL","HOU",1,"HOU",-30
"4706","2012_07_CLE_IND",7,2012,"CLE","IND",0,"IND",-4
"4707","2012_07_DAL_CAR",7,2012,"DAL","CAR",1,"DAL",5
"4708","2012_07_DET_CHI",7,2012,"DET","CHI",0,"CHI",-6
"4709","2012_07_GB_STL",7,2012,"GB","LA",0.75,"GB",10
"4710","2012_07_JAX_OAK",7,2012,"JAX","LV",1,"LV",-3
"4711","2012_07_NO_TB",7,2012,"NO","TB",0,"NO",7
